--- Starting V3 Training (Detect, Locate, Patch) ---
--- Starting V3 Training ---
Loaded 164 problems.
Epoch 1: Loss=1.4352 | Cls_Acc=43.66%
Epoch 2: Loss=1.1554 | Cls_Acc=38.67%
Epoch 3: Loss=0.9748 | Cls_Acc=65.38%
Epoch 4: Loss=0.9801 | Cls_Acc=64.94%
Epoch 5: Loss=1.0038 | Cls_Acc=44.59%
Epoch 6: Loss=1.0334 | Cls_Acc=54.32%
Epoch 7: Loss=1.0056 | Cls_Acc=55.22%
Epoch 8: Loss=1.0399 | Cls_Acc=42.11%
Epoch 9: Loss=0.9602 | Cls_Acc=56.72%
Epoch 10: Loss=1.0200 | Cls_Acc=56.96%
Model and Vocab saved.
Epoch 11: Loss=0.9850 | Cls_Acc=55.70%
Epoch 12: Loss=0.9575 | Cls_Acc=59.72%
Epoch 13: Loss=1.0019 | Cls_Acc=50.72%
Epoch 14: Loss=0.8533 | Cls_Acc=61.64%
Epoch 15: Loss=0.9720 | Cls_Acc=57.53%
Epoch 16: Loss=1.0315 | Cls_Acc=55.26%
Epoch 17: Loss=1.0517 | Cls_Acc=47.89%
Epoch 18: Loss=1.0212 | Cls_Acc=54.67%
Epoch 19: Loss=1.0533 | Cls_Acc=50.72%
Epoch 20: Loss=1.0545 | Cls_Acc=47.37%
Model and Vocab saved.
Epoch 21: Loss=1.0012 | Cls_Acc=58.11%
Epoch 22: Loss=1.0994 | Cls_Acc=44.12%
Epoch 23: Loss=1.0555 | Cls_Acc=49.32%
Epoch 24: Loss=0.9993 | Cls_Acc=49.38%
Epoch 25: Loss=0.8863 | Cls_Acc=59.72%
Epoch 26: Loss=0.9961 | Cls_Acc=48.68%
Epoch 27: Loss=0.9113 | Cls_Acc=60.81%
Epoch 28: Loss=1.0374 | Cls_Acc=53.33%
Epoch 29: Loss=1.0260 | Cls_Acc=52.86%
Epoch 30: Loss=0.9676 | Cls_Acc=55.07%
Model and Vocab saved.
Epoch 31: Loss=0.9070 | Cls_Acc=62.32%
Epoch 32: Loss=0.8957 | Cls_Acc=62.34%
Epoch 33: Loss=0.9733 | Cls_Acc=47.30%
Epoch 34: Loss=0.9389 | Cls_Acc=57.53%
Epoch 35: Loss=0.9135 | Cls_Acc=54.55%
Epoch 36: Loss=0.8958 | Cls_Acc=62.34%
Epoch 37: Loss=0.9417 | Cls_Acc=57.69%
Epoch 38: Loss=0.9936 | Cls_Acc=57.35%
Epoch 39: Loss=1.0208 | Cls_Acc=49.32%
Epoch 40: Loss=0.8523 | Cls_Acc=60.81%
Model and Vocab saved.
Epoch 41: Loss=0.8926 | Cls_Acc=65.28%
Epoch 42: Loss=0.9887 | Cls_Acc=58.11%
Epoch 43: Loss=1.0207 | Cls_Acc=55.41%
Epoch 44: Loss=0.9485 | Cls_Acc=60.76%
Epoch 45: Loss=0.8781 | Cls_Acc=63.77%
Epoch 46: Loss=0.8642 | Cls_Acc=62.50%
Epoch 47: Loss=0.9781 | Cls_Acc=62.82%
Epoch 48: Loss=0.9303 | Cls_Acc=51.95%
Epoch 49: Loss=0.8797 | Cls_Acc=66.67%
Epoch 50: Loss=0.8867 | Cls_Acc=62.16%
Model and Vocab saved.
